# Cân nặng ước tính
tuần	p5	p50	p95
16	123	146	169
18	187	223	259
20	278	331	384
22	401	478	554
24	563	670	777
26	767	913	1059
28	1016	1210	1404
30	1310	1559	1809
32	1641	1953	2265
34	1997	2377	2757
36	2363	2813	3263
38	2718	3236	3754
40	3040	3619	4198

# Chiều dài đầu mông (CRL)
tuần	p5	p50	p95
7	8	10	12
8	13	16	19
9	19	23	27
10	26	31	36
11	35	41	47
12	47	55	63
13	56	66	76
14	67	79	91

# Chiều dài xương đùi (FL)
tuần	p5	p50	p95
12	6	8	10
14	12	15	18
16	18	21	24
18	24	27	30
20	29	33	37
22	34	38	42
24	39	43	47
26	43	48	53
28	47	52	57
30	51	56	61
32	55	60	65
34	58	64	70
36	61	67	73
38	64	70	76
40	66	73	79

# Đường kính lưỡng đỉnh (BPD)
tuần	p5	p50	p95
12	18	21	24
14	24	27	30
16	31	35	39
18	38	42	46
20	44	49	54
22	50	55	60
24	56	61	66
26	61	66	71
28	66	71	76
30	71	76	81
32	75	81	87
34	79	85	91
36	82	88	94
38	85	91	97
40	88	94	100

# Nhịp tim thai
tuần	p5	p50	p95
6	98	110	122
7	120	135	150
8	145	160	175
9	158	172	186
10	156	170	184
12	148	161	174
14	144	156	168
16	140	152	164
18	137	149	161
20	135	146	158
24	131	143	155
28	128	140	152
32	125	137	149
36	122	134	146
40	120	132	144
